1;10,51538;93
2;15,17549;54
3;18,36676;0
4;23,03837;0
5;24,79573;0
6;26,63432;0
7;32,63793;0
8;34,03772;0
9;37,35545;0
0;40,13685;0
1;41,49551;0
2;44,19372;0
3;47,21951;0
4;52,67246;2
5;54,3937;0
6;56,01709;0
7;61,61415;0
8;62,9538;0
9;66,17651;6
0;69,59942;0
1;73,01521;30
2;76,31766;0
3;79,35787;0
4;84,03394;0
5;85,85764;0
6;87,77673;0
7;93,39555;0
8;94,73946;0
9;97,91589;0
0;100,7769;0
1;102,2932;0
2;104,9573;0
3;107,9775;0
4;112,5163;17
5;119,6607;194
6;121,2959;0
7;126,8561;0
8;128,1967;0
9;132,2982;42
0;135,7347;0
1;137,2954;0
