Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
55;61,76255;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,5155;0,295813;;184;-6,188687
56;62,53867;;-1 + -1 + -1 + ;0,6086256;0,1892679;;100;-2,202106
57;62,89399;;-1 + -1 + -1 + -1 + ;2,773588;0,3179808;;133;0,09156847
58;63,3554;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,119742;0,4228387;;200;1,542581
59;64,07798;;-1 + -1 + -1 + -1 + ;0,7303491;0,1916636;;100;-3,077987
60;64,43513;;-1 + -1 + -1 + -1 + -1 + -1 + ;7,68493;0,8963318;;433;4,581262
61;65,90877;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,293627;0,2390172;;134;-2,467356
62;66,38905;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,925749;0,2806419;;83;-0,7936094
63;66,74016;;-1 + -1 + -1 + ;-0,292035;0,1918289;;167;-3,100206
64;67,35153;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,576845;0,2566486;;166;-1,166506
65;67,99231;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3048874;0,1643966;;84;-2,530716
66;68,35526;;-1 + -1 + -1 + -1 + -1 + ;-0,2755249;0,1767026;;66;-3,098822
67;68,60114;;-1 + -1 + -1 + ;0,4902005;0,1973013;;284;-2,312498
68;69,67854;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,8148236;0,1404282;;150;-4,674396
69;70,2722;1 + 1 + ;-1 + -1 + -1 + -1 + ;9,429989;1,901707;;650;9,331697
70;72,41251;;-1 + -1 + -1 + ;1,262329;0,2360776;;216;-1,501594
71;73,20843;;-1 + ;0,2746271;0,2102711;;100;-0,5151018
72;73,59159;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,994312;0,5215228;;200;1,515832
73;74,368;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5583721;0,1573827;;134;-2,284245
74;74,87772;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5395694;0,2297438;;100;-3,230687
75;75,34746;;-1 + -1 + -1 + -1 + -1 + ;2,831313;0,405839;;300;0,2371507
76;76,46858;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,3537711;0,1422755;;66;-4,211495
77;76,74222;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,228217;0,2170946;;134;-2,554688
78;77,29594;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,260587;0,6085046;;350;1,869094
79;78,6198;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,899431;0,547056;;150;-0,5535133
80;79,14897;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,213389;0,4749794;;300;2,688367
81;80,23301;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,41881;0,4108246;;200;0,8296344
82;80,97142;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,3503186;0,2336151;;66;-2,416066
83;81,18803;;-1 + -1 + -1 + -1 + ;1,639007;0,2713108;;150;-2,089682
84;81,80367;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,7540564;0,1119805;;184;-3,642076
85;82,55164;;-1 + -1 + -1 + -1 + -1 + -1 + ;9,811322;0,9013443;;733;7,712666
86;84,99408;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,418801;0,273028;;250;-1,308171
87;85,96529;;-1 + -1 + -1 + -1 + -1 + ;1,670322;0,3685162;;283;-0,9611621
88;87,03889;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,7386248;0,1877985;;100;-2,073577
89;87,46526;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,064676;0,212519;;134;-1,722806
90;87,98215;;-1 + -1 + -1 + -1 + ;8,680526;0,6703825;;433;7,350904
91;89,46596;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,7158773;0,1697886;;167;-2,114334
92;90,07743;;-1 + -1 + -1 + -1 + ;1,108613;0,2062881;;183;-2,685098
93;90,72234;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,642332;0,3964704;;133;-0,9611988
94;91,25957;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,223287;0,2226774;;117;-1,554035
95;91,72269;;-1 + ;4,752698;0,5462019;;217;4,298899
96;92,49261;;-1 + -1 + -1 + -1 + -1 + ;2,937233;0,3320669;;133;1,2693
97;92,9603;;-1 + -1 + -1 + -1 + -1 + ;1,027889;0,2053406;;117;-3,76677
98;93,415;;-1 + -1 + ;1,113474;0,231477;;83;-0,6550491
99;93,74258;;-1 + -1 + -1 + ;2,384923;0,3126252;;100;-0,3024523
100;94,14188;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,680143;0,6721948;;400;4,352338
101;95,56981;;-1 + -1 + ;1,071815;0,2930903;;67;-0,6350945
102;95,82932;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,350829;0,2350527;;133;-1,414118
103;96,35332;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + ;6,03304;0,8899527;;283;4,922993
104;97,31884;;-1 + -1 + -1 + -1 + ;2,444813;0,5083073;;150;-1,04688
105;97,84821;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,371604;0,2547995;;100;-2,373596
106;98,26633;;-1 + -1 + -1 + -1 + -1 + ;4,421417;0,2779592;;300;1,699378
107;99,33127;;-1 + -1 + ;1,466431;0,2846052;;134;-0,2489644
108;99,83161;1 + ;-1 + -1 + -1 + -1 + -1 + ;5,395623;0,6436263;;383;4,039249
109;101,2544;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,870646;0,4482652;;267;1,318908
110;102,2649;;-1 + -1 + -1 + -1 + -1 + ;0,004524928;0,1419351;;150;-2,85354
111;102,8782;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,604308;0,4840904;;300;4,088398
112;104,0833;;-1 + -1 + -1 + ;0,06233608;0,1306457;;183;-2,807018
113;104,7627;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,499465;0,4460154;;100;-1,054519
114;105,1498;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,605937;0,5893831;;233;1,19532
115;105,9729;;-1 + -1 + ;-0,239476;0,1241642;;84;-2,115312
116;106,3246;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,178897;0,2408331;;166;-1,58027
117;106,9427;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,464851;0,4688697;;217;-4,06628
118;107,7651;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,09048873;0,1345944;;117;-6,955894
119;108,1991;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,828503;0,3269263;;216;-3,844572
120;109,0524;;-1 + -1 + -1 + -1 + ;5,629054;0,7156546;;367;2,344709
121;110,3041;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,1006227;0,1388245;;67;-2,760553
122;110,5645;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,711409;0,3868689;;300;0,09827733
123;111,682;;-1 + -1 + ;3,323027;0,335146;;250;1,658172
124;112,633;;-1 + -1 + -1 + -1 + -1 + ;2,201293;0,1865895;;116;-2,612118
125;113,0865;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,5202166;0,1968837;;184;-2,2829
126;113,8163;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,79287;0,4370826;;100;0,2299526
127;114,2123;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,9834208;0,2240387;;100;-1,79254
128;114,5952;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,781696;0,2616051;;200;-0,9566991
129;115,331;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,384159;0,2501316;;100;-4,365709
130;115,6977;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,8687;0,2790461;;183;1,147747
131;116,3848;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,294765;0,6340665;;300;-1,07117
132;117,4374;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,6822386;0,1601245;;100;-7,522114
133;117,8094;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,227161;0,2762502;;133;-1,496589
134;118,2793;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4241181;0,1799293;;167;-6,395953
135;118,9942;;-1 + -1 + -1 + ;3,236251;0,4413539;;217;0,6776056
136;119,8083;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,22459;0,6495324;;333;2,874123
137;121,0303;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,757975;0,7038231;;300;2,461799
138;122,1593;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,9407995;0,2462334;;150;-1,812967
139;122,756;;-1 + -1 + -1 + ;4,230846;0,5817831;;317;2,812629
140;123,9722;;-1 + ;4,512782;0,3177024;;266;3,830483
141;124,8987;;-1 + -1 + ;2,72307;0,2255765;;134;0,9486475
142;125,374;;-1 + -1 + -1 + -1 + ;5,559216;0,5946783;;333;3,153894
143;126,5824;;-1 + -1 + -1 + -1 + ;2,526506;0,2362303;;117;-1,237263
144;127,0092;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;11,81893;1,697131;;633;10,51607
145;129,1559;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,4152607;0,1267331;;167;-3,288528
146;129,8218;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,107697;0,3921625;;250;-1,500138
147;130,7658;;-1 + -1 + -1 + ;0,4131346;0,1918484;;116;-2,395017
148;131,1949;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,462436;0,2461126;;150;-1,291451
149;131,8204;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,282407;0,5395757;;284;2,821986
150;132,9302;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,24647;0,4977778;;316;0,7442474
151;133,9979;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,514184;0,2760152;;117;-0,209801
152;134,4548;;-1 + -1 + -1 + ;-0,299687;0,1505745;;83;-3,149112
153;134,8096;;-1 + -1 + -1 + -1 + ;-0,2667315;0,1640904;;300;-4,102642
154;135,9428;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,1283809;0,1449127;;200;-2,983468
155;136,6667;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2789716;0,154465;;134;-1,566563
156;137,1743;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,05155423;0,1975315;;200;-1,750914
157;137,9575;;-1 + -1 + ;1,21823;0,222096;;100;-0,559675
158;138,3147;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,602975;0,2750821;;116;-4,121943
159;138,7358;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,869493;0,245442;;184;-0,8850644
160;139,5036;;-1 + -1 + ;5,267641;0,6475489;;433;3,915186
161;140,9494;;-1 + -1 + -1 + ;2,319976;0,2897376;;183;-0,3902857
162;141,5971;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,821639;0,2422572;;117;0,06389594
163;142,0583;;-1 + -1 + -1 + -1 + ;2,165984;0,2542252;;233;-1,579791
164;142,9223;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;10,6616;1,278887;;650;8,940488
165;145,0631;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,05514;0,5266099;;317;2,581749
166;146,1806;;-1 + -1 + -1 + ;4,321903;0,526829;;250;1,848732
167;147,0611;;-1 + -1 + -1 + ;3,221911;0,3027717;;300;0,5246842
168;148,1165;;-1 + -1 + -1 + ;5,043042;0,505207;;333;2,548252
169;149,2542;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,187865;0,4006745;;134;-0,4114599
170;149,7343;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,7774282;0,1265826;;133;-3,650846
171;150,2818;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,230278;0,3824776;;283;1,612755
