Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
54;50,86946;;-1 + -1 + -1 + -1 + ;1,948848;0,2467917;;100;-1,80436
55;51,25674;;-1 + -1 + -1 + -1 + -1 + ;1,541634;0,3636774;;84;-3,094689
56;51,57255;;-1 + -1 + ;-0,7187132;0,1566061;;116;-2,562107
57;51,96951;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,6735766;0,1783967;;67;-2,148026
58;52,21013;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,003805;0,3365628;;183;-1,659632
59;52,9188;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,036385;0,2043392;;184;-0,759275
60;53,57601;;-1 + -1 + -1 + ;1,293254;0,2366789;;133;-1,470067
61;54,03924;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,013435;0,9363759;;350;4,949813
62;55,21299;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,3823971;0,1725504;;117;-0,4450524
63;55,61824;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,69113;0,9016978;;266;5,592829
64;56,62606;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,5213406;0,1729916;;134;-3,348349
65;57,14859;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,367774;0,2128961;;216;-1,41933
66;57,94769;;-1 + -1 + -1 + ;1,837215;0,3758437;;217;-0,7869411
67;58,69873;;-1 + ;2,835242;0,3827255;;183;2,217969
68;59,36895;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1929059;0,2097729;;100;-2,597321
69;59,77181;;-1 + -1 + -1 + ;0,4699023;0,223182;;150;-2,306916
70;60,27771;;-1 + -1 + -1 + -1 + ;1,340533;0,2043016;;184;-2,455165
71;60,97232;;-1 + -1 + -1 + ;1,153904;0,1524383;;350;0,3063428
72;62,16476;;-1 + -1 + -1 + -1 + ;1,901524;0,3412079;;133;0,2427313
73;62,63729;;-1 + -1 + -1 + ;1,764933;0,3167462;;233;-0,9183207
74;63,47174;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,349155;0,4025697;;200;-0,2482755
75;64,20586;;-1 + -1 + -1 + -1 + ;2,363009;0,3369628;;150;-0,300029
76;64,71687;;-1 + -1 + -1 + -1 + -1 + ;0,4636801;0,1614866;;67;-1,374833
77;65,02439;;-1 + -1 + -1 + -1 + ;5,933658;0,7545427;;350;2,688198
78;66,22633;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,2942919;0,1488188;;133;-7,145473
79;66,67593;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,550567;0,2271707;;150;-1,222263
80;67,25437;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,242873;0,670228;;367;1,913099
81;68,48509;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,543654;0,7061926;;200;1,249847
82;69,18618;;-1 + -1 + -1 + ;1,403375;0,3283277;;117;-1,268297
83;69,61299;;-1 + -1 + -1 + ;2,199465;0,3547538;;166;-0,4457817
84;70,21445;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,701818;0,7027639;;500;6,40458
