Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;31,1098;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,59997;0,6277834;;384;6,227752
2;92,11855;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,563373;0,2306034;;133;-1,206024
3;95,53089;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,634541;0,3187428;;167;2,953286
4;96,25407;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,275893;0,2207344;;83;-1,503373
5;96,78391;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,1318119;0,215872;;117;-3,652316
6;97,3767;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,774731;0,5223009;;183;3,297034
7;98,32066;;-1 + -1 + -1 + -1 + -1 + -1 + ;-0,002384175;0,1529364;;67;-2,849448
8;98,86097;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,027121;0,2225959;;133;-0,7502828
9;99,55729;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,702241;0,1567399;;184;-7,545501
10;100,5351;;-1 + -1 + -1 + -1 + -1 + ;4,922998;0,5210031;;166;2,444001
11;101,5088;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,171226;0,1946643;;67;-1,63411
12;102,0019;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,256012;0,2503976;;217;-1,493591
13;103,1323;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;13,3455;0,937223;;683;13,28272
14;105,9823;;-1 + -1 + ;1,262649;0,2237905;;133;-0,5135611
15;107,0424;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,250196;0,1784298;;150;-0,5713743
16;107,7327;;-1 + ;5,11878;0,4385184;;267;4,557295
17;108,882;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,163095;0,3919226;;150;0,5550179
18;109,7308;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,9091064;0,1640685;;83;-1,926825
19;110,2806;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,856308;0,2313785;;134;1,087688
20;111,1015;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,761864;0,3369193;;416;1,098784
21;113,1743;;-1 + -1 + -1 + ;4,425796;0,4726267;;234;1,898423
22;114,6605;;-1 + -1 + -1 + -1 + ;3,312023;0,4195497;;283;1,731574
23;116,2302;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,59752;0,2493506;;167;1,846871
24;117,2638;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,951779;0,6767954;;316;7,628578
25;119,2738;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,076045;0,1954275;;150;0,2714727
26;120,3183;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;16,77236;1,291007;;534;15,06336
27;123,1542;;-1 + -1 + -1 + -1 + -1 + -1 + ;6,559874;0,4803776;;300;4,04025
28;125,1124;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,072173;0,3060647;;166;0,3782372
29;126,1861;;-1 + -1 + ;9,474438;0,5482287;;400;8,022665
30;128,2867;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;20,95933;1,112314;;750;20,07163
31;131,755;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,34;0,2884637;;184;1,628463
32;133,0642;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;13,38459;0,7161261;;583;11,10071
33;135,4543;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,390176;0,3599197;;383;5,750093
34;137,6542;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,649925;0,2115583;;200;-2,138517
35;138,9703;;-1 + -1 + -1 + -1 + ;3,735726;0,2340141;;217;0,9697413
36;140,2334;;-1 + -1 + -1 + -1 + ;-0,02761611;0,1418293;;133;-3,885787
37;141,0739;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,762915;0,1578195;;200;0,9207349
38;142,2691;;-1 + -1 + -1 + ;1,92197;0,2665484;;200;-0,8114817
39;143,505;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,6132305;0,1241044;;134;-2,489126
40;144,3097;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,649165;0,2810076;;166;0,9301734
41;145,2722;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + ;31,29507;1,561238;;1300;31,85628
