1;11,71815;32
2;17,03958;0
3;22,99482;0
4;30,17799;0
5;33,95337;0
6;37,23677;0
7;47,75937;0
8;50,07629;0
9;55,39832;0
0;59,63552;0
1;62,1195;0
2;67,15331;0
3;73,74621;0
4;82,4534;0
5;85,99478;0
6;89,39909;0
7;103,2322;60
8;105,3555;0
9;111,3183;0
0;115,7258;0
1;118,3331;0
2;123,3561;0
3;128,5531;0
4;137,6991;0
5;141,3138;0
6;143,9979;0
7;153,7122;0
8;156,0167;0
9;162,2728;0
0;167,0988;0
1;170,136;0
2;175,4562;0
3;180,7569;0
4;189,1533;0
5;192,2928;0
6;195,8789;0
7;206,9755;0
8;209,0918;0
9;215,6366;0
0;220,5343;0
1;223,2981;0
2;230,5776;0
3;235,8162;0
4;243,3974;0
5;246,6299;0
6;249,9357;0
7;258,6528;0
8;261,2138;0
9;267,5134;0
0;272,6349;0
1;275,0947;0
2;280,0712;0
3;286,1384;0
4;294,0335;0
