1;11,54279;27
2;16,31508;0
3;20,71811;0
4;26,67351;0
5;29,39434;0
6;32,01408;0
7;44,4759;70
8;46,63517;0
9;51,65928;0
0;56,09408;0
1;58,73222;0
2;62,75174;0
3;68,51846;0
4;75,07409;0
5;77,93908;0
6;80,59313;0
7;89,45619;0
8;91,7687;0
9;96,57964;0
0;100,8339;0
1;103,1527;0
2;107,7787;0
3;112,9749;0
4;119,2947;0
5;122,5752;0
6;125,4193;0
7;134,1941;0
8;137,4495;0
9;143,7153;0
0;147,5561;0
1;149,6138;0
2;153,9181;0
3;158,791;0
4;165,256;0
5;167,717;0
6;173,474;0
7;182,333;0
8;184,7438;0
9;190,4554;0
0;194,4348;0
1;196,8383;0
2;201,9264;0
3;206,7592;0
4;214,1992;0
5;216,5185;0
6;219,3336;0
7;228,4529;0
8;230,1538;0
9;234,7704;0
0;238,9843;0
1;241,472;0
2;245,6525;0
3;250,3743;0
4;256,5556;0
5;258,9533;0
6;262,8773;0
7;273,7726;20
8;275,6964;0
9;280,9679;0
0;285,1153;0
1;287,4771;0
2;291,6536;0
3;296,0556;0
4;302,4945;0
5;305,4548;0
6;308,354;0
7;316,7736;0
8;319,0381;0
9;323,247;0
0;327,3763;0
1;329,7139;0
2;334,6138;0
3;339,9583;0
4;346,7538;0
5;349,5258;0
6;352,8557;0
7;362,2954;0
8;363,7384;0
9;367,5723;0
0;378,2955;38
1;380,8748;0
2;385,1549;0
3;390,0218;0
4;396,1754;0
5;398,7945;0
6;401,2981;0
7;409,8988;0
8;412,4194;0
9;417,4131;0
0;421,5001;0
1;423,9126;0
2;428,0731;0
3;433,613;0
4;441,3773;0
5;444,2366;0
6;446,8543;0
7;456,6966;2
8;459,4141;0
9;463,7903;0
0;468,4376;0
1;471,0954;0
2;475,5363;0
3;479,8115;0
4;486,6752;0
5;489,2373;0
6;491,7347;0
7;500,4162;0
8;502,2522;0
9;507,2123;0
0;510,9718;0
1;513,8177;0
2;519,8578;13
3;523,9208;0
4;544,7317;225
5;546,9734;0
6;549,0368;0
7;557,2111;0
8;558,6892;0
9;562,2922;0
0;565,1964;0
1;567,5943;5
2;571,1509;0
