Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
55;141,5331;;-1 + -1 + -1 + -1 + ;7,58262;0,6271288;;317;6,20975
56;142,5468;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,329995;0,6149376;;250;7,944931
57;143,4936;;-1 + -1 + -1 + ;4,34491;0,4584984;;133;1,803408
58;144,0688;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,960043;0,2631612;;334;2,223205
59;145,133;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;10,6831;0,6050755;;350;8,288181
60;146,3751;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,510763;0,1736545;;433;0,6844182
61;147,8977;;-1 + -1 + -1 + -1 + ;2,331553;0,1644538;;83;-1,503993
62;148,5299;;-1 + -1 + -1 + -1 + -1 + ;1,464859;0,2128008;;100;-0,3223408
63;148,8979;2 + ;-1 + -1 + ;17,14447;1,033316;;567;18,17779
64;150,5233;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,131382;0,3052982;;217;2,436681
65;151,567;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,736561;0,2685884;;183;1,005149
66;152,2844;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1198122;0,2326099;;133;-3,647578
67;152,7827;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,5238753;0,1683302;;100;-3,355545
68;153,2166;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,924745;0,2499002;;134;-0,8253543
69;153,696;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,208897;0,1361996;;400;1,345097
70;154,9401;;-1 + -1 + -1 + ;4,510771;0,237831;;150;1,748602
71;155,6599;;-1 + -1 + -1 + -1 + -1 + ;4,327482;0,2473641;;133;-0,4251547
72;156,1538;;-1 + -1 + ;5,659731;0,5728832;;200;4,232615
73;156,8023;;-1 + -1 + -1 + ;1,620493;0,2460971;;67;-1,13341
74;157,1629;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,162136;0,2169372;;116;-0,6209264
75;157,5695;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,872148;0,3629268;;184;2,235075
76;158,2107;;-1 + ;2,419549;0,2846446;;116;1,704194
77;158,6945;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1983238;0,1945201;;84;-2,607156
78;159,0339;;-1 + -1 + -1 + -1 + ;7,054246;0,4696742;;250;4,523919
79;159,8509;;-1 + -1 + -1 + -1 + -1 + ;5,199789;0,6165268;;166;3,816316
80;160,7304;;-1 + -1 + ;6,402606;0,3923318;;400;5,794932
81;161,965;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,475307;0,4570261;;267;2,932332
82;163,0503;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,978226;0,2683025;;183;0,2465286
83;163,7701;;-1 + -1 + -1 + -1 + ;4,52463;0,4591936;;134;0,9838252
84;164,3151;;-1 + -1 + -1 + -1 + -1 + ;9,005607;0,6853566;;566;6,690962
85;165,9876;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,430084;0,3222899;;167;0,7523761
86;166,946;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,1273;0,153406;;183;-3,973893
87;167,6618;;-1 + ;7,48775;0,5672007;;317;7,054949
88;168,6747;;-1 + -1 + ;1,731614;0,224026;;150;-0,04435992
89;169,3172;;-1 + -1 + -1 + ;5,847455;0,5332989;;250;3,380755
90;170,1379;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;10,77913;0,9170718;;333;7,696195
91;171,2337;;-1 + ;0,4225918;0,1664171;;250;-0,4109917
92;172,2035;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,279884;0,3353312;;134;0,6152143
93;172,7811;;-1 + -1 + -1 + -1 + -1 + -1 + ;8,014825;0,568654;;216;5,583482
94;173,5349;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1385942;0,182622;;67;-2,678784
95;173,8972;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,171954;0,3179617;;167;1,489917
96;174,4219;;-1 + -1 + -1 + -1 + ;2,36348;0,2984578;;100;-0,3380628
97;174,8812;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,373787;0,5976877;;200;2,971473
98;175,547;;-1 + -1 + -1 + ;2,478205;0,2296468;;133;-0,2921493
99;176,0825;;-1 + -1 + -1 + -1 + ;4,705931;0,3699917;;183;3,075921
100;176,6929;;-1 + ;6,945555;0,6000478;;300;6,545603
101;177,6917;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,80595;0,5144722;;134;1,320419
102;178,3123;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-0,07436198;0,1860563;;100;-2,888306
103;178,733;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;9,585274;0,5887932;;333;7,17407
104;179,7699;;-1 + -1 + -1 + -1 + ;2,543128;0,3521541;;83;-1,104717
105;180,3258;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,383237;0,2271706;;167;-0,3895934
106;180,8934;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,85593;0,2745114;;83;-4,869559
107;181,2748;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,174779;0,3692485;;117;1,544027
108;181,6782;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;14,54811;0,8774949;;417;11,42562
109;182,9105;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,309654;0,2047456;;150;0,5143988
110;183,6669;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,28709;0,2838953;;116;1,570985
111;184,1282;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,786274;0,1569758;;84;-0,05674958
112;184,4626;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,47307;0,2122463;;83;-0,3146843
113;184,7837;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;7,524007;0,4430057;;317;4,967012
114;185,7517;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,253177;0,4308251;;133;3,684003
115;186,4228;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,564789;0,2474762;;117;-0,1877351
116;186,8925;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + ;12,7637;1,007892;;316;12,7716
117;187,8874;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,220499;0,2101057;;84;-1,569396
118;188,4768;;-1 + ;1,395165;0,2046984;;100;0,5998635
119;188,8733;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,657359;0,425936;;83;3,083295
120;189,224;;-1 + -1 + -1 + ;2,469601;0,3077245;;83;-0,2226741
121;189,5322;;-1 + -1 + -1 + -1 + ;1,944008;0,23599;;117;-0,8200021
122;189,999;;-1 + -1 + -1 + -1 + -1 + -1 + ;12,36333;0,9936782;;283;10,35701
123;190,939;;-1 + -1 + -1 + -1 + ;4,207572;0,4716308;;134;0,6792021
124;191,557;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,316409;0,1822409;;66;-0,5013504
125;191,8831;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,08084439;0,162481;;67;-2,756675
126;192,1156;;-1 + -1 + -1 + -1 + -1 + -1 + ;6,865875;0,6762267;;200;4,542099
