Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
56;134,8323;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,547719;0,1317332;;184;0,6794518
57;136,1492;;-1 + -1 + -1 + ;5,985121;0,4922097;;766;3,477331
58;140,5547;;-1 + -1 + -1 + -1 + -1 + ;2,632824;0,2550613;;234;-0,1121149
59;142,5572;;-1 + -1 + -1 + -1 + ;7,779292;0,9326291;;383;4,71192
60;144,9883;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,122427;0,5516527;;333;4,674078
61;147,1953;;-1 + -1 + -1 + ;2,967996;0,2430872;;450;0,2110844
62;150,0755;;-1 + -1 + -1 + ;1,102595;0,1716004;;50;-1,725805
63;150,7758;;-1 + -1 + -1 + -1 + -1 + ;2,47393;0,2173966;;117;-0,3086729
64;151,5215;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,901855;0,4794719;;417;0,38133
65;153,9834;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,849194;0,1694706;;150;0,01866531
66;155,2852;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,600273;0,9352233;;533;7,535492
67;158,3576;;-1 + -1 + -1 + -1 + -1 + ;3,318027;0,2130796;;167;0,5311058
68;159,8206;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,909226;0,2021041;;250;-0,8886695
69;161,4296;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,1653409;0,1459386;;116;-3,68872
70;162,3065;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,627055;0,3907553;;150;-0,9821892
71;163,2538;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,08516;0,3952821;;200;0,4804432
72;164,5589;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5008292;0,1804197;;184;-1,318751
73;165,8514;;-1 + -1 + -1 + ;-0,2419269;0,156984;;100;-3,084943
74;166,6205;;-1 + ;0,2934336;0,1617709;;116;-0,5447956
75;167,3989;;-1 + -1 + -1 + -1 + ;6,283866;0,6367066;;284;2,920575
76;169,1061;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,980442;0,2169474;;250;-0,8026104
77;170,8084;;-1 + -1 + -1 + ;3,266913;0,3621364;;250;0,629051
78;172,4433;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,384803;0,3095308;;100;-0,305666
79;173,2832;;-1 + -1 + -1 + ;2,304002;0,380648;;216;-0,3153512
80;174,6488;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,4757785;0,2541886;;184;-2,270033
81;175,8906;;-1 + ;0,532619;0,176016;;150;-0,2913651
82;176,9205;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,406298;0,3397999;;150;0,7460971
83;177,958;;-1 + -1 + -1 + -1 + -1 + ;3,04977;0,4843237;;150;0,5340927
84;179,0068;1 + ;-1 + -1 + -1 + -1 + -1 + ;5,804504;0,9611117;;250;2,765618
85;180,6269;;-1 + -1 + -1 + -1 + -1 + ;3,265799;0,3819221;;266;1,647721
86;182,344;;-1 + -1 + -1 + ;-0,05686697;0,1552788;;67;-2,901588
87;182,9657;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,853245;0,440728;;300;2,293972
88;184,7548;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,898377;0,7075467;;267;2,605924
89;186,5134;1 + ;-1 + -1 + -1 + -1 + -1 + ;7,644314;0,9768904;;366;6,621212
90;188,8958;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,2491886;0,1396622;;84;-1,611149
91;189,7378;;-1 + -1 + -1 + -1 + -1 + ;-0,2189184;0,1274345;;66;-2,091484
92;190,212;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,372027;0,5867004;;217;-3,041272
93;191,6107;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,456152;0,241952;;117;-1,301895
94;192,4805;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,08316;0,5783149;;133;0,6614752
95;193,3741;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,08742;0,3250185;;133;0,4124382
96;194,2667;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,188805;0,4523923;;184;0,6411963
97;195,5013;;-1 + -1 + -1 + -1 + -1 + ;1,218198;0,2376419;;100;-1,544161
98;196,2525;;-1 + -1 + -1 + -1 + -1 + -1 + ;1,904436;0,311287;;133;-0,7842762
99;197,0711;;-1 + -1 + -1 + -1 + -1 + -1 + ;3,98303;0,7133247;;167;1,696354
100;198,163;;-1 + -1 + -1 + ;3,099406;0,2148139;;150;2,314219
101;199,2411;;-1 + ;0,5427835;0,1720587;;100;-0,285158
102;199,9721;;-1 + -1 + -1 + -1 + -1 + ;2,28834;0,3061448;;133;1,594485
103;200,8128;;-1 + -1 + -1 + -1 + ;0,5940327;0,278594;;133;-3,127373
104;201,7028;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,9788723;0,2091397;;67;-1,811988
105;202,2604;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,073349;0,2472366;;83;-1,679414
106;202,81;;-1 + -1 + -1 + ;2,786833;0,3907242;;134;0,177557
107;203,7085;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,2465212;0,1529949;;150;-2,600484
108;204,7513;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,367882;0,3658337;;200;-0,266284
109;206,0869;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,35764;0,1644594;;66;-2,477901
110;206,6723;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,5754998;0,1921481;;100;-2,232352
111;207,3203;;-1 + -1 + -1 + -1 + -1 + -1 + ;6,057406;0,8870598;;267;3,944467
112;208,9317;;-1 + -1 + -1 + -1 + ;1,684538;0,2943897;;67;-2,021072
113;209,5463;;-1 + ;1,35707;0,3476883;;83;0,7047585
114;210,1293;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;0,8127028;0,2192883;;83;-4,968009
115;210,6923;;-1 + -1 + -1 + -1 + -1 + -1 + ;2,120067;0,231019;;184;-0,6489148
116;211,9146;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,639782;0,4631583;;116;1,102941
117;212,7516;;-1 + -1 + -1 + -1 + -1 + ;2,861088;0,4166938;;117;1,277782
