Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
55;110,7867;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,724204;0,3769459;;150;2,10115
56;111,7847;;-1 + -1 + -1 + -1 + -1 + -1 + ;5,427694;0,2697788;;200;2,697471
57;113,0427;;-1 + ;0,8776742;0,163818;;150;0,04149222
58;114,0843;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;24,62765;1,152834;;800;23,7805
59;118,4708;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,425419;0,1816317;;283;-6,392949
60;120,6819;;-1 + -1 + ;4,129394;0,3483271;;217;2,477722
61;122,0992;;-1 + -1 + -1 + ;5,187758;0,3199495;;266;2,507707
62;123,7836;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,991605;0,2761761;;184;0,2677808
63;125,0632;;-1 + -1 + -1 + -1 + ;0,8103274;0,1823102;;133;-3,007362
64;125,9887;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,09067;0,2108088;;117;-0,6985209
65;126,7547;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;6,34893;0,3506144;;300;5,699545
66;128,5016;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;12,00637;0,7106608;;483;10,71703
67;131,459;2 + ;-1 + -1 + ;15,34999;0,9859332;;633;17,33595
68;135,3834;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,403437;0,2723461;;134;-0,3242168
69;136,7316;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,205562;0,3638081;;116;1,56937
70;137,558;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;33,13511;1,733125;;950;33,86826
71;142,9832;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,238421;0,2621783;;84;1,5006
72;144,3678;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;8,399927;0,6388672;;283;6,038793
73;146,0534;;-1 + -1 + -1 + -1 + -1 + -1 + ;4,724257;0,3699933;;200;3,09425
74;147,408;;-1 + -1 + -1 + -1 + ;2,426123;0,2262865;;100;1,652409
75;148,1552;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,196901;0,2005745;;200;-0,602525
76;149,3462;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;14,83981;0,6915481;;533;13,53136
77;152,4339;2 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;10,86809;0,8846731;;350;9,752761
78;154,8301;;-1 + -1 + -1 + -1 + ;3,669516;0,303679;;117;-0,02680564
79;155,7966;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,397913;0,3827412;;283;1,780653
80;157,4283;;-1 + -1 + -1 + -1 + ;0,6994649;0,1735494;;84;-1,126986
81;158,1622;;-1 + -1 + -1 + ;2,539831;0,2907205;;233;-0,1694477
82;159,5355;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;18,04272;0,9215624;;533;14,96429
83;162,5913;;-1 + -1 + -1 + -1 + -1 + ;9,487419;0,6844133;;534;7,171839
84;165,9101;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;2,012833;0,2596004;;250;-0,7275667
85;167,7517;;-1 + ;3,710069;0,2916613;;200;3,001731
86;169,0852;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;4,498815;0,3101019;;166;1,808918
87;170,2008;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,788417;0,2484572;;184;1,036874
