Episode number;Time;Checkpoint;Hit;Direction;Speed;Acceleration;Step;CumulativeRew
1;5,688379;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-2,940647;-0,3902672;;126;-11,33091
2;10,38356;;;0;0;;0;-8
2;10,38588;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-4,291192;-0,3664308;;217;-19,65763
3;14,6549;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,715735;-0,2786576;;76;-9,994392
4;16,72145;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,792537;-0,3049153;;83;-9,097452
5;18,75814;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,816468;-0,2933609;;79;-10,10983
6;20,6867;;-1 + -1 + -1 + -1 + ;0,1209874;0,1535954;;102;-3,725417
7;23,04595;;-1 + -1 + -1 + ;0,6445412;0,1349312;;116;-2,220528
8;25,68103;;-1 + -1 + -1 + ;0,7166296;0,1378674;;116;-2,145503
9;28,34867;;-1 + ;0,6327237;-0,2287962;;2326;-0,5960673
10;75,24004;;-1 + -1 + -1 + ;-3,644612;-0,3986832;;1811;-7,043294
11;111,2357;;-1 + -1 + -1 + ;-0,5819768;0,1359546;;51;-3,446022
12;112,8647;;-1 + -1 + -1 + -1 + ;3,233001;0,5098299;;151;-0,2571695
13;116,2159;;-1 + -1 + -1 + -1 + ;1,948678;0,291685;;70;-1,759637
14;117,9994;;-1 + -1 + -1 + -1 + ;1,283083;0,1737405;;57;-2,543176
15;119,6895;;-1 + -1 + ;2,907514;0,1893316;;131;1,096846
16;122,6969;;-1 + -1 + -1 + ;2,292697;0,2276308;;82;-0,4796722
17;124,6864;;-1 + -1 + -1 + ;1,454334;0,1648071;;59;-1,38086
18;126,209;;-1 + -1 + -1 + ;1,939201;0,2560593;;75;-0,804739
19;128,0432;;-1 + -1 + -1 + -1 + ;1,65701;0,2549296;;64;-2,088061
20;129,7022;;-1 + -1 + -1 + -1 + ;1,937878;0,531785;;101;-1,530338
21;132,017;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + ;6,148797;-1,51115;;2831;-0,3623457
22;189,0311;;-1 + -1 + -1 + -1 + ;-2,406692;-0,3275862;;806;-6,734278
23;204,9605;;-1 + -1 + -1 + -1 + -1 + ;-1,898504;-0,4248816;;876;-7,323383
24;222,5037;;-1 + ;-3,804718;-0,7314013;;976;-5,536123
25;242,0424;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,43397;-0,282452;;596;-8,716421
26;253,9869;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;-1,164521;-0,3721799;;1456;-9,536699
27;283,1321;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + -1 + ;1,934051;0,08631664;;721;-6,979631
28;297,5633;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,3057968;0,1647657;;101;-5,529438
29;299,6111;;-1 + -1 + -1 + -1 + -1 + ;2,087759;-0,3298794;;176;-3,24212
30;303,1525;;-1 + -1 + -1 + ;-0,541558;0,1908284;;236;-3,350729
31;307,8997;;-1 + -1 + ;0,3157146;0,1711665;;112;-1,513119
32;310,1609;;-1 + -1 + ;4,546333;0,4203031;;436;2,966634
33;318,882;;-1 + ;3,192587;-0,123041;;624;2,069547
34;331,4998;;-1 + -1 + ;5,835441;-0,4062868;;1166;3,429154
35;355,2984;;-1 + -1 + -1 + ;3,097784;0,4767151;;231;0,5744982
36;360,1142;;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;5,890447;0,4893145;;381;-0,6202416
37;368,1123;;-1 + -1 + ;0,8025302;0,4159397;;1101;-0,7815285
38;390,4663;;-1 + ;10,07661;0,5823693;;1366;9,658982
39;418,0972;;-1 + -1 + -1 + -1 + ;-1,18598;0,1361571;;68;-5,049823
40;419,2398;;-1 + ;10,20224;-0,1209975;;1526;9,081242
41;450,2766;;-1 + -1 + -1 + -1 + ;5,768933;-0,4767827;;2596;1,29215
42;502,5813;1 + ;-1 + -1 + ;9,341785;0,2454578;;1316;8,587247
43;529,2529;1 + 1 + ;-1 + -1 + ;24,41302;0,9732855;;4181;25,38632
44;613,2726;;-1 + ;2,672507;0,2895102;;491;1,962017
45;623,416;;-1 + -1 + ;14,13752;1,039562;;2001;13,1771
46;663,7654;;-1 + -1 + ;4,319405;0,3632291;;796;2,682631
47;680,0015;1 + ;-1 + -1 + -1 + ;11,94503;1,084652;;1226;11,02968
48;704,8748;;-1 + -1 + -1 + ;1,948437;0,3325129;;72;-0,7190504
49;706,6675;;-1 + -1 + -1 + -1 + -1 + ;1,926437;0,3775493;;74;-2,696014
50;707,9863;;-1 + ;1,365301;0,2135738;;51;0,5788745
51;709,5262;;-1 + -1 + -1 + -1 + ;1,625138;0,2472596;;59;-2,127602
52;710,5703;;-1 + -1 + -1 + -1 + -1 + ;4,967457;1,001324;;196;0,9687805
53;715,0159;;-1 + -1 + -1 + -1 + -1 + -1 + ;0,9149456;0,1459453;;42;-4,939109
54;715,7407;;-1 + -1 + ;5,910505;0,5709642;;426;4,481471
55;724,6636;;-1 + ;1,252268;0,3144251;;137;0,5666924
56;727,8837;;-1 + ;1,949973;0,1175939;;166;1,067568
57;731,4938;;-1 + ;5,57117;0,5254487;;701;5,096619
58;745,8643;;-1 + ;3,607908;0,3046323;;456;2,91254
59;755,2984;;-1 + ;3,875166;0,3560064;;351;3,231173
60;762,5743;;-1 + ;5,267322;0,5620843;;631;4,829406
61;775,5274;1 + ;-1 + ;13,95586;1,615269;;1456;15,57111
62;804,9187;;-1 + ;6,732281;0,3503177;;681;6,082594
63;818,937;;-1 + -1 + -1 + ;2,310007;0,2579633;;186;-0,4320292
64;822,4533;1 + 1 + ;-1 + -1 + ;20,03366;2,747919;;1366;22,7816
65;850,271;;-1 + -1 + ;2,141616;0,248397;;77;0,3900132
66;852,1768;;-1 + ;2,509872;0,510488;;691;2,020361
67;866,2682;;-1 + -1 + -1 + -1 + -1 + ;3,155915;0,6539532;;256;-1,190133
68;871,1924;;-1 + -1 + ;2,067477;0,2135988;;131;0,2810755
69;873,8438;1 + ;-1 + -1 + ;18,40718;1,898429;;1476;19,30563
70;903,8229;1 + ;-1 + ;5,744789;0,9667665;;256;6,711557
71;909,2135;;-1 + -1 + ;0,7903956;0,2300466;;936;-0,9795579
72;927,7094;1 + ;-1 + -1 + -1 + -1 + ;-2,46128;-0,3501205;;4041;-5,811402
73;1008,551;;-1 + -1 + -1 + -1 + ;2,709836;0,3192948;;101;-0,9708688
74;1010,596;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + ;0,3029052;0,142531;;2256;-4,554563
75;1055,737;1 + ;-1 + -1 + -1 + -1 + -1 + -1 + -1 + ;3,104278;-0,06933556;;2646;-2,965063
76;1108,679;;-1 + -1 + ;1,657695;0,2477555;;516;-0,09454918
77;1119,015;;-1 + -1 + -1 + ;2,257802;0,2044048;;86;-0,5377934
78;1120,751;;-1 + ;4,043568;0,6975291;;181;3,741094
79;1124,389;1 + ;-1 + -1 + ;13,80898;2,093893;;821;14,90287
80;1140,832;;-1 + ;1,797517;0,01773087;;611;0,8152478
81;1153,08;1 + ;-1 + ;11,83585;1,500498;;861;13,33636
82;1170,856;;-1 + -1 + ;1,327443;0,1924393;;146;-0,4801182
83;1173,591;1 + 1 + ;-1 + ;11,11787;1,710301;;751;13,82815
84;1189,135;;-1 + -1 + ;3,216123;0,572684;;131;1,788807
85;1192,075;1 + ;-1 + -1 + -1 + ;12,05908;0,9343242;;1826;10,99341
86;1228,901;;-1 + ;2,119833;0,2034808;;161;1,323314
87;1232,442;;-1 + -1 + ;2,394054;0,280748;;131;0,6748018
88;1234,876;1 + ;-1 + ;9,558932;1,578245;;446;11,13717
89;1244,254;1 + ;-1 + -1 + ;7,167056;1,430234;;436;7,5973
90;1253,287;1 + ;-1 + -1 + -1 + ;9,232894;1,578282;;386;8,811174
91;1261,31;;-1 + -1 + ;4,693423;0,7112507;;201;3,404669
92;1265,694;1 + ;-1 + -1 + ;10,78934;1,455828;;401;11,24516
93;1273,979;1 + ;-1 + ;5,172352;0,9013998;;241;6,073757
94;1279,138;;-1 + ;2,163455;0,2011247;;121;1,364581
95;1281,887;;-1 + ;1,685221;0,2115924;;171;0,8968133
96;1285,1;;-1 + -1 + -1 + ;0,7529517;0,1484931;;226;-2,098555
97;1289,654;;-1 + -1 + ;1,966935;0,2291444;;122;0,1960788
98;1292,127;;-1 + ;2,762758;0,2386191;;206;2,001376
99;1296,238;1 + 1 + 1 + ;-1 + -1 + -1 + ;33,6955;5,230534;;1886;38,92601
100;1334,573;1 + 1 + 1 + ;-1 + -1 + ;36,83363;5,819845;;1426;43,65347
101;1363,383;;-1 + ;6,487113;0,7839192;;246;6,271032
102;1368,579;1 + 1 + ;-1 + -1 + -1 + ;15,74942;2,736566;;611;17,486
103;1381,102;1 + 1 + 1 + 1 + 1 + 1 + ;-1 + -1 + ;56,415;9,204905;;2466;69,62002
104;1430,697;;-1 + ;2,152034;0,220347;;122;1,372382
105;1433,464;;-1 + -1 + -1 + ;5,575933;0,593293;;371;3,169227
106;1441,167;1 + 1 + ;-1 + ;18,77466;2,333072;;821;22,10775
107;1458,02;1 + 1 + 1 + ;-1 + ;35,46061;4,484893;;1741;41,94547
108;1493,151;1 + 1 + 1 + 1 + ;-1 + -1 + ;40,0009;6,775035;;1681;48,776
109;1527,064;1 + 1 + 1 + 1 + 1 + 1 + ;-1 + -1 + ;45,82774;7,477785;;2121;57,30553
110;1569,86;1 + 1 + 1 + 1 + ;-1 + -1 + -1 + ;23,33708;4,16679;;831;28,50388
111;1586,838;1 + ;-1 + ;10,36558;2,007711;;391;12,37329
112;1594,935;1 + 1 + ;-1 + -1 + ;18,88833;3,852567;;701;22,7409
